Extension,Altitude,Velocity,Drag,Center_of_Pressure
0,9000,205.0,88.52768,0.6822031
0,9000,240.0,118.7467,0.6825206
0,9000,274.0,153.1339,0.6865951
0,9000,308.0,192.5889,0.6825153
0,9000,343.0,235.8502,0.6831164
0,9000,377.0,283.4624,0.6831202
0,9000,411.0,334.5549,0.6818782
0,9000,445.0,390.715,0.6830139
0,9000,480.0,449.7831,0.6824357
0,9000,514.0,513.7033,0.6821222
0,10000,34.0,2.630507,0.7002115
0,10000,68.0,9.737296,0.6910057
0,10000,102.0,21.02775,0.6858647
0,10000,137.0,36.43204,0.6843249
0,10000,171.0,55.73155,0.6825667
0,10000,205.0,79.1028,0.6825671
0,10000,240.0,106.1956,0.6830791
0,10000,274.0,137.2488,0.6834124
0,10000,308.0,171.9015,0.6821876
0,10000,343.0,210.0259,0.6832255
0,10000,377.0,252.2163,0.6851186
0,10000,411.0,298.2535,0.6836565
0,10000,445.0,347.5222,0.6829394
0,10000,480.0,400.995,0.6833318
0,10000,514.0,457.3008,0.684169
10,0,34.0,7.122129,0.6880098
10,0,68.0,26.79935,0.6814989
10,0,102.0,58.29481,0.6804324
10,0,137.0,101.286,0.6788768
10,0,171.0,155.7728,0.6752853
10,0,205.0,221.1234,0.6758027
10,0,240.0,297.5548,0.6764739
10,0,274.0,385.5565,0.6766749
10,0,308.0,483.8347,0.6727086
10,0,343.0,592.97,0.6725635
10,0,377.0,712.9642,0.6747491
10,0,411.0,844.0794,0.674364
10,0,445.0,986.4016,0.6716779
10,0,480.0,1138.836,0.6709697
10,0,514.0,1301.143,0.6699171
10,1000,34.0,6.516358,0.6882447
10,1000,68.0,24.50724,0.6816524
10,1000,102.0,53.19609,0.6819586
10,1000,137.0,92.55025,0.6789131
10,1000,171.0,142.3655,0.6755328
10,1000,205.0,202.032,0.6753002
10,1000,240.0,271.7673,0.6745542
10,1000,274.0,351.8725,0.6753232
10,1000,308.0,441.023,0.6743837
10,1000,343.0,540.5026,0.67477
10,1000,377.0,650.2435,0.6744123
10,1000,411.0,768.6071,0.676155
10,1000,445.0,897.8183,0.6747651
10,1000,480.0,1037.653,0.6720564
10,1000,514.0,1185.329,0.6722497
10,2000,34.0,5.94407,0.6894456
10,2000,68.0,22.37103,0.6807573
10,2000,102.0,48.51118,0.6811748
10,2000,137.0,84.2412,0.6803315
